random	noun/verb	location	#1 String	#2 String
wash	V	3-9	he managed to wash out the stains	The car is so dirty , we need to wash it .
surprise	N	1-2	The surprise attack was devastating .	Imagine my surprise on learning I owed twice as much as I thought I did .
make	V	0-0	make clay into bricks	make an estimate
make	V	0-1	make merry	I make the height about 100 feet
raise	V	0-0	raise the roof	raise a shout
affinity	N	1-2	an affinity for politics	James 's affinity with Sam
say	V	4-2	What does the law say ?	The registrar says that I owe the school money
course	N	6-3	We offer seafood as the first course .	he took a course in basket weaving
war	N	1-1	the war against crime	the war on poverty
construction	N	4-5	He had worked in construction all his life .	their main business is home construction
state	N	1-4	his state of health	in a weak financial state
fail	V	1-4	I fail to understand your motives	A number of banks failed that year
spring	N	6-8	he will hold office until the spring of next year	the emerging buds were a sure sign of spring
end	N	1-6	one end of the box was marked ` This side up '	we have given it at the end of the section since it involves the calculus
business	N	7-2	They did nearly a million dollars of business over the long weekend .	Government and business could not agree
fire	N	4-0	We sat around the fire singing songs and telling stories .	fire was one of our ancestors ' first discoveries
hold	V	0-0	hold in place	Hold the pencil like this .
inventory	N	10-4	they stopped selling in exact sizes in order to reduce inventory	they carried a vast inventory of hardware
sing	V	5-2	" I really want to sing in the school choir . " said Vera .	My brother sings very well
area	N	7-1	it was about 500 square feet in area	the area of a rectangle
house	N	3-9	This is my house and my family 's ancestral home .	she felt she had to get out of the house
face	N	4-7	dew dripped from the face of the leaf	She wanted to wipe him off the face of the earth .
surgery	N	8-5	he read the warning in the doctor 's surgery	I dropped in on the surgery as I was passing to show the doctor my hemorrhoids .
reaction	N	12-2	When I last tried to eat strawberries I had a terrible allergic reaction .	a bad reaction to the medicine
point	V	4-3	It 's rude to point at other people .	the dancers toes pointed outward
take	V	2-3	I 'll take three salmon steaks	The escaped convict took to the hills
mean	V	1-1	I mean to go to Baddeck this summer .	I mean no harm
take	V	4-2	Tomorrow the doctor will take the cast off her arm .	Can you take this bag , please
date	N	4-7	they are up to date	we have n't heard from them to date
take	V	0-4	take vengeance	This surface will not take the dye
believe	V	2-3	Should we believe a publication like the National Enquirer ?	You can not believe this man
call	V	4-3	The mayor likes to call on some of the prominent citizens	We could always call on a friend .     The engineer called round whilst you were away .
practice	N	4-5	I took over his practice when he retired	it is not the local practice to wear shorts to dinner
offer	V	0-4	offer prayers to the gods	The Shakespeare Company is offering ` King Lear ' this month
sense	N	5-3	fortunately she had the good sense to run away	It 's common sense not to put metal objects in a microwave oven .
see	V	2-3	let 's see -- which movie should we see tonight ?	How nice to see you again !
work	V	4-2	She never did any work because she inherited a lot of money	the student worked a few jokes into his presentation
head	N	9-6	I could n't get his words out of my head	This song keeps going through my head .
way	N	4-2	if I had my way	a lonely way of life
make	V	3-3	He did n't make the choir after his voice changed .	They hope to make a bigger profit
catch	V	0-6	catch one 's breath	We have a big barrel to catch the rainwater
deliver	V	6-2	Deliver a package ;    deliver the mail	the guard delivered the criminal to the police
strip	V	0-2	strip a wall of its wallpaper	Norm will strip the old varnish before painting the chair .
cut	V	3-2	she could not cut the long days in the office	his opponent cut upward toward his chin
fall	V	1-2	payments fall on the 1st of the month	The onus fell on us
see	V	4-2	The minister does n't see anybody before noon	Can you see the bird in that tree ?
streak	N	5-2	I was on a winning streak until the fourth game , where I was dealt terrible cards .	had a streak of bad luck
splash	N	7-4	her red hat gave her outfit a splash of color	he made a great splash and then disappeared
book	N	5-3	they run things by the book around here	She opened the book to page 37 and began to read aloud .
start	V	1-3	I start my day with a good breakfast	The blood shed started when the partisans launched a surprise attack
take	V	0-3	take a pulse	You ca n't take credit for this !
foulness	N	4-3	mouths which speak such foulness must be cleansed	he understood the foulness of sin
answer	V	0-1	answer the door	She answered the door .
furniture	N	3-9	A chair is furniture . Sofas are also furniture .	The woman does not even have one stick of furniture moved in yet .
eye	N	3-5	she has an eye for fresh talent	he has an artist 's eye
go	V	2-1	Messages must go through diplomatic channels	Get going !
death	N	1-1	The death of my grandmother saddened the whole family .	her death came as a terrible shock
application	N	1-2	the application of indexes to tables of data	The iPhone application VR+ connects to major social networks .
back	N	1-10	his back was nicely tanned	they pinned a ` kick me ' sign on his back
rest	N	14-4	Now that we 're all in agreement , we can put that issue to rest .	The boulder came to rest just behind the house after rolling down the mountain .
bake	V	1-1	Potatoes bake to a crisp .	I baked a delicious cherry pie .
shoot	V	0-0	shoot a basket	shoot a goal
tail	N	25-4	After the burly macho nudists ' polar bear dip , their tails were spectacularly shrunk , so they looked like an immature kid 's innocent tail .	Most primates have a tail and fangs .
light	N	4-1	do you have a light ?	the light of my life
consummate	V	0-12	consummate a marriage	After the reception , he escorted her to the honeymoon suite to consummate their marriage .
take	V	2-3	Do you take me for a fool ?	How should I take this message ?
stop	V	4-2	Soon the rain will stop .	the car stopped
term	N	2-5	a prison term	He was sentenced to a term of six years in prison .
syrup	N	1-1	Maple syrup	Pancake syrup
space	N	5-8	they stopped at an open space in the jungle	they tested his ability to locate objects in space
head	N	1-1	12 head of big cattle and 14 head of branded calves	200 head of cattle and 50 head of horses
pull	N	1-5	the pull of the current	Iron fillings drawn by the pull of a magnet
masticate	V	0-5	masticate rubber	The cow stood , quietly masticating its cud .
pick	V	0-0	pick meat from a bone	pick up the tab
station	N	5-6	the train pulled into the station	he started looking for a gas station
be	V	4-2	When will the meeting be ?	The dog was drowned by the boy .
take	V	3-3	How should I take this message ?	He was often taken to be a man of means .
take	V	2-1	Can you take this bag , please	It takes nerve to do what she did
take	V	2-3	I 'll take three salmon steaks	You ca n't take credit for this !
rap	N	12-4	You ca n't act irresponsibly and then expect me to take the rap .	it was a bum rap
record	N	12-6	Al Smith used to say , ` Let 's look at the record '	his name is in all the record books
masquerade	N	3-1	a beggar 's masquerade of wealth	That masquerade of misrepresentation which invariably accompanied the political eloquence of Rome - Thomas de Quincey
use	N	1-4	The use of torture has been condemned by the United Nations ;    there is no use for your invention	he warned against the use of narcotic drugs
lead	N	2-5	a good lead for a job	they did n't follow our lead
life	N	5-3	he hoped for a new life in Australia	pottery was his life
wall	N	1-2	a wall of water	the south wall had a small window
stretch	N	3-2	he did a stretch in the federal penitentiary	there were stretches of boredom
break	V	3-1	I had to break a $ 100 bill just to buy the candy	Someone broke in while I was on vacation
admit	V	3-2	We can not admit non - members into our club building	A ticket admits one into a playhouse .
curmudgeon	N	4-14	There 's a cranky curmudgeon working at the hospital who gives all the patients and other doctors flak .	John Doe 's old age and stubborn aversion to new ideas make him a curmudgeon of a candidate .
cut	V	0-3	cut from one scene to another	Would you please cut the cake ?
copy	N	3-3	catastrophes make good copy	she made a copy of the designer dress
cut	V	2-2	The sweat cut little rivulets into her face	This bread cuts easily
turn	V	4-2	the strong man could turn an iron bar	the company turned a good profit after a year
center	N	1-1	Shopping center	the center fumbled the handoff
difference	N	6-1	It just wo n't make much difference to me .	the difference in her is amazing
end	N	1-1	one end of the box was marked ` This side up '	the ends justify the means
militate	V	1-1	To militate against the possibility of his election .	Politeness militated against this opinion being expressed
sanitize	V	0-0	sanitize a document before releasing it to the press	sanitize the language in a book
keep	V	2-8	The students keep me on my toes	There 's little to earn and many to keep
lob	V	0-3	lob the tennis ball	The tennis player lobbed the ball , which was a costly mistake .
hum	N	4-1	They could hear a hum coming from the kitchen , and found the dishwasher on .	the hum of distant traffic
see	V	2-4	Do you see what I mean ?	The minister does n't see anybody before noon
raise	V	0-0	raise a siege	raise a family
break	V	3-3	I had to break a $ 100 bill just to buy the candy	his voice is breaking -- he should no longer sing in the choir
cut	V	0-0	cut grain	cut a disk
implication	N	4-9	he was suspected of implication in several robberies	the expectation was spread both by word and by implication
bum	N	2-9	a lazy bum	That guy keeps interrupting the concert . Throw the bum out !
turn	V	0-0	turn the earth in the Spring	turn a somersault
see	V	13-3	They 're blind to the damage they do , but someday they 'll see .	The 1960 's saw the rebellion of the younger generation against established traditions
wall	N	2-4	the south wall had a small window	We 're adding another wall in this room during the remodeling .
run	V	3-5	The horse will run the Preakness next year .	I 'm not ready to run a marathon .
head	N	1-1	the head of the nail " , " a pinhead is the head of a pin	200 head of cattle and 50 head of horses
make	V	3-1	She may not make the grade	He makes a great host
tact	N	2-4	I used tact when I told my fat uncle that his extra weight made him look better .	By the use of tact , she was able to calm her jealous husband .
work	V	0-1	work the clay until it is soft	They worked on her to join the group .
leave	V	3-0	She did n't leave until midnight	leave the flowers that you see in the park behind
development	N	2-1	the slow development of her skill as a writer	the development of his ideas took many years
scene	N	5-4	The crazy lady made a scene in the grocery store .	They saw an angry scene outside the pub .
patch	N	2-3	a cabbage patch	Does n't that patch of clouds looks like a bunny ?
sale	N	6-9	you 'll find vitamin C for sale at most pharmacies	the new line of cars will soon be on sale
scrub	V	3-3	Engineers had to scrub the satellite launch due to bad weather .	we had to scrub our vacation plans
sum	N	1-1	the sum of all our troubles did not equal the misery they suffered	The sum of forty pounds
machinery	N	2-1	the complex machinery of negotiation	the machinery of command labored and brought forth an order
body	N	8-1	Penny was in the scullery , pressing the body of her new dress .	heavenly body
find	V	6-1	These aspects of civilization do not find expression or receive an interpretation	She found that he had lied to her
third	N	9-6	he was cut down on a close play at third	a simple harmony written in major thirds
carry	V	2-3	You must carry your camping gear	This land will carry ten cows to the acre
run	V	0-0	run a risk	run a temperature
develop	V	2-2	Could you develop the ideas in your thesis	The patient developed abdominal pains
get	V	2-3	We 'll get them !	This time I got him
rub	V	0-2	rub oil into her skin	The cat rubbed itself against my leg .
meet	V	4-2	The company agrees to meet the cost of any repairs .	This proposal meets my requirements .
make	V	0-1	make my day	This makes the third infraction
leave	V	3-1	She did n't leave until midnight	I left my keys inside the car and locked the doors
feeder	N	2-2	a bark feeder	a mud feeder
place	N	5-4	If you were in my place what would you do ?	he has a special place in my thoughts
pull	V	0-3	pull the cooked chicken into strips	A declining dollar pulled down the export figures for the last quarter
order	N	1-5	the order of Saint Benedict	an explosion of a low order of magnitude
sense	N	1-1	a sense of danger	a sense of self
save	V	2-2	This will save money	I 'll save you the trouble
shower	N	7-3	Her church group has planned an adoption shower .	he took a shower after the game
key	N	1-4	the key to development is economic integration	they were carrying two keys of heroin
dress	V	0-0	dress a turkey	dress the patient
block	V	0-5	block an attack	The offensive linemen tried to block the blitz .
forefront	N	8-6	the idea of motion was always to the forefront of his mind and central to his philosophy	That laboratory researches topics at the forefront of technology .
now	N	5-6	it worked up to right now	There is no better time than now .
follow	V	1-0	Teenagers follow their friends in everything	Follow these simple rules
cover	V	3-4	Does my policy cover accidental loss ?	The insurance wo n't cover this
coordinate	V	0-0	coordinate his actions with that of his colleagues	coordinate the painters , masons , and plumbers
touch	V	5-8	The local Mafia wo n't touch gambling	Are you all right ? You 've hardly touched your lunch .
practice	N	0-5	practice makes perfect	He will need lots of practice with the lines before he performs them .
go	V	6-2	Do you think the sofa will go through the door ?     The belt just barely went around his waist .	her eyesight went after the accident
carry	V	1-2	I carry her image in my mind 's eye	The senator carried his home state
hit	V	0-1	hit the bottle	He hit a home run
point	V	0-0	point a gun	point the letter
waste	V	0-1	waste heat	We waste the dirty water by channeling it into the sewer
development	N	8-1	in chess your should take care of your development before moving your queen	recent developments in Iraq
snap	V	1-1	To snap a whip	bullets snapped past us
pay	V	0-9	pay a debt	He was allowed to go as soon as he paid .
plot	N	7-3	the characters were well drawn but the plot was banal	they concocted a plot to discredit the governor
integrity	N	5-10	they admired his scrupulous professional integrity	he expects to find in us the common honesty and integrity of men of business
cut	V	0-1	cut the engine	She cut all of her major titles again
turn	V	18-0	The hillside behind our house is n't generally much to look at , but once all the trees turn it 's gorgeous .	turn the earth in the Spring
toy	V	1-0	To toy with a piece of food on one 's plate	toy with an idea
pump	V	0-2	pump bullets into the dummy	The athlete pumps weights in the gym
mean	V	5-1	You never understand what I mean !	Happiness means everything
take	V	3-11	How should I take this message ?	Looking at him as he came into the room , I took him for his father .
truck	V	0-1	truck fresh vegetables across the mountains	Amanda trucked the package from Philadelphia to her mother 's house .
wildness	N	7-3	Liza had always had a tendency to wildness	the element of wildness in his behavior was a protest against repressive convention
case	N	14-4	for English , a compositor will ordinarily have two such cases , the upper case containing the capitals and the lower case containing the small letters	that was not the case
support	N	4-6	they called for artillery support	he applied to the state for support
buy	V	5-3	I 'm not going to buy your stupid excuses anymore !	I ca n't buy this story
bum	N	4-2	That mechanic 's a bum - he could n't fix a yo - yo .	a lazy bum
beat	V	0-0	beat the cream	beat the subway fare
run	V	0-3	run a temperature	let the dogs run free
foot	N	4-1	curled up on the foot of the bed	the foot of the page
exercise	V	2-3	Some parents exercise their infants	this puzzle will exercise your mind
make	V	0-3	make love , not war	This salary increase makes no difference to my standard of living
misery	N	1-5	the misery and wretchedness of those slums is intolerable	she was exhausted by her misery and grief
cut	V	3-2	Would you please cut the cake ?	This knife cuts well
